IdVenda,DataMovimentacao,NomeLocal,IdMercadoria,NomeMercadoria,Grupo,Receita,Custo,Qtde.
19108537,10/1/2024,LOJA A,3970,Produto 1,Grupo 1,"R$ 7,33","R$ 3,78",1
19108537,10/1/2024,LOJA A,9009,Produto 2,Grupo 2,"R$ 11,00","R$ 6,72",1
19108537,10/1/2024,LOJA A,3095,Produto 3,Grupo 3,"R$ 29,30","R$ 16,78",6
19108537,10/1/2024,LOJA A,115,Produto 4,Grupo 4,"R$ 3,67","R$ 3,46",1
19108537,10/1/2024,LOJA A,2184,Produto 5,Grupo 4,"R$ 1,67","R$ 1,00",1
19108538,10/1/2024,LOJA B,3193,Produto 6,Grupo 3,"R$ 7,99","R$ 4,14",2
19108554,10/1/2024,LOJA B,3193,Produto 6,Grupo 3,"R$ 35,97","R$ 18,61",5
19108560,10/1/2024,LOJA B,2855,Produto 8,Grupo 3,"R$ 3,33","R$ 2,04",1
19108560,10/1/2024,LOJA B,128,Produto 9,Grupo 3,"R$ 1,66","R$ 0,87",1
19108560,10/1/2024,LOJA B,115,Produto 4,Grupo 4,"R$ 3,67","R$ 3,46",1
19108563,10/1/2024,LOJA B,3193,Produto 6,Grupo 3,"R$ 7,99","R$ 4,14",2
19108566,10/1/2024,LOJA B,1866,Produto 12,Grupo 5,"R$ 3,33","R$ 1,90",1
19108566,10/1/2024,LOJA B,72,Produto 13,Grupo 6,"R$ 3,17","R$ 2,12",1
19108574,10/1/2024,LOJA B,1746,Produto 14,Grupo 5,"R$ 1,00","R$ 0,56",1
19108578,10/1/2024,LOJA A,3164,Produto 15,Grupo 4,"R$ 2,17","R$ 2,05",1
19108590,10/1/2024,LOJA A,3268,Produto 16,Grupo 4,"R$ 4,00","R$ 3,55",1
19108590,10/1/2024,LOJA A,91,Produto 17,Grupo 3,"R$ 3,50","R$ 2,04",1
19109386,10/1/2024,LOJA B,115,Produto 4,Grupo 4,"R$ 3,67","R$ 3,46",1
19109389,10/1/2024,LOJA B,6042,Produto 74,Grupo 5,"R$ 1,17","R$ 0,72",1
19109396,10/1/2024,LOJA B,113,Produto 27,Grupo 4,"R$ 2,67","R$ 2,52",1
19109400,10/1/2024,LOJA B,2254,Produto 76,Grupo 7,"R$ 7,99","R$ 3,74",2
19109401,10/1/2024,LOJA B,1834,Produto 20,Grupo 3,"R$ 3,66","R$ 2,04",1
19109401,10/1/2024,LOJA B,1884,Produto 78,Grupo 5,"R$ 1,83","R$ 1,27",1
19109402,10/1/2024,LOJA B,1834,Produto 20,Grupo 3,"R$ 3,66","R$ 2,04",1
19109413,10/1/2024,LOJA B,3193,Produto 6,Grupo 3,"R$ 15,99","R$ 8,27",4
19109439,10/1/2024,LOJA B,1834,Produto 20,Grupo 3,"R$ 7,33","R$ 4,08",2
19109450,10/1/2024,LOJA B,7122,Produto 55,Grupo 1,"R$ 1,66","R$ 0,86",1
19109472,10/1/2024,LOJA B,1834,Produto 20,Grupo 3,"R$ 7,33","R$ 4,08",2
19109506,10/1/2024,LOJA B,3171,Produto 37,Grupo 3,"R$ 18,00","R$ 10,05",4
19109516,10/1/2024,LOJA B,3171,Produto 37,Grupo 3,"R$ 4,50","R$ 2,51",1
19109517,10/1/2024,LOJA B,3171,Produto 37,Grupo 3,"R$ 9,00","R$ 5,03",2
19109522,10/1/2024,LOJA B,1360,Produto 87,Grupo 1,"R$ 2,00","R$ 1,41",1
19109522,10/1/2024,LOJA B,3348,Produto 39,Grupo 8,"R$ 1,33","R$ 0,60",1
19109522,10/1/2024,LOJA B,2095,Produto 89,Grupo 9,"R$ 1,67","R$ 0,76",1
19109572,10/1/2024,LOJA B,3171,Produto 37,Grupo 3,"R$ 13,50","R$ 7,54",3
19110216,10/1/2024,LOJA A,1517,Produto 91,Grupo 10,"R$ 2,17","R$ 1,28",1
19110216,10/1/2024,LOJA A,119,Produto 92,Grupo 11,"R$ 2,00","R$ 0,83",1
19110216,10/1/2024,LOJA A,137,Produto 93,Grupo 7,"R$ 5,00","R$ 2,67",2
19110216,10/1/2024,LOJA A,1712,Produto 94,Grupo 9,"R$ 1,83","R$ 1,11",1
19110216,10/1/2024,LOJA A,1720,Produto 95,Grupo 9,"R$ 2,67","R$ 1,67",1
19110607,10/1/2024,LOJA A,1988,Produto 96,Grupo 6,"R$ 2,00","R$ 1,01",1
19110740,10/1/2024,LOJA B,115,Produto 4,Grupo 4,"R$ 3,67","R$ 3,46",1
19111041,10/1/2024,LOJA A,8729,Produto 98,Grupo 8,"R$ 1,50","R$ 0,76",1
19111143,10/1/2024,LOJA B,113,Produto 27,Grupo 4,"R$ 2,67","R$ 2,52",1
19111202,10/1/2024,LOJA A,113,Produto 27,Grupo 4,"R$ 2,67","R$ 2,52",1
19111202,10/1/2024,LOJA A,2184,Produto 5,Grupo 4,"R$ 1,67","R$ 1,00",1
19111213,10/1/2024,LOJA A,451,Produto 34,Grupo 3,"R$ 1,33","R$ 0,71",1
19111214,10/1/2024,LOJA B,4547,Produto 103,Grupo 4,"R$ 3,58","R$ 3,38",1
19111263,10/1/2024,LOJA A,3164,Produto 15,Grupo 4,"R$ 2,17","R$ 2,05",1
19111300,10/1/2024,LOJA A,3268,Produto 16,Grupo 4,"R$ 4,00","R$ 3,55",1
19111300,10/1/2024,LOJA A,1817,Produto 106,Grupo 4,"R$ 10,67","R$ 7,67",1
19111437,10/1/2024,LOJA B,113,Produto 27,Grupo 4,"R$ 2,67","R$ 2,52",1
19111437,10/1/2024,LOJA B,334,Produto 108,Grupo 5,"R$ 0,83","R$ 0,39",1
19111446,10/1/2024,LOJA A,298,Produto 109,Grupo 4,"R$ 6,17","R$ 5,82",2
19111549,10/1/2024,LOJA B,1258,Produto 110,Grupo 12,"R$ 2,17","R$ 1,17",1
19111673,10/1/2024,LOJA A,115,Produto 4,Grupo 4,"R$ 3,67","R$ 3,46",1
19111736,10/1/2024,LOJA B,1989,Produto 112,Grupo 4,"R$ 13,33","R$ 11,43",2
19111816,10/1/2024,LOJA B,9418,Produto 113,Grupo 13,"R$ 1,50","R$ 0,45",1
19111816,10/1/2024,LOJA B,3421,Produto 114,Grupo 7,"R$ 1,33","R$ 0,91",2
19111978,10/1/2024,LOJA B,3348,Produto 39,Grupo 8,"R$ 1,33","R$ 0,60",1
19111978,10/1/2024,LOJA B,3421,Produto 114,Grupo 7,"R$ 2,66","R$ 1,81",4
19112005,10/1/2024,LOJA B,1080,Produto 117,Grupo 5,"R$ 3,66","R$ 2,53",1
19112005,10/1/2024,LOJA B,1704,Produto 118,Grupo 8,"R$ 3,00","R$ 1,69",1
19112005,10/1/2024,LOJA B,1884,Produto 78,Grupo 5,"R$ 1,83","R$ 1,27",1
19112368,10/1/2024,LOJA A,2425,Produto 120,Grupo 5,"R$ 0,83","R$ 0,39",1
19112368,10/1/2024,LOJA A,4548,Produto 22,Grupo 4,"R$ 3,25","R$ 3,07",1
19112515,10/1/2024,LOJA B,1982,Produto 122,Grupo 5,"R$ 2,00","R$ 1,16",3
19112515,10/1/2024,LOJA B,3243,Produto 123,Grupo 13,"R$ 1,66","R$ 0,97",1
19112515,10/1/2024,LOJA B,9937,Produto 124,Grupo 7,"R$ 2,67","R$ 1,50",1
19112579,10/1/2024,LOJA B,3421,Produto 114,Grupo 7,"R$ 1,33","R$ 0,91",2
19112754,10/1/2024,LOJA A,8480,Produto 126,Grupo 1,"R$ 3,33","R$ 1,27",2
19112846,10/1/2024,LOJA B,3214,Produto 127,Grupo 7,"R$ 3,00","R$ 3,00",2
19112857,10/1/2024,LOJA B,3117,Produto 128,Grupo 4,"R$ 4,17","R$ 3,94",1
19112913,10/1/2024,LOJA A,10075,Produto 129,Grupo 4,"R$ 5,33","R$ 5,04",2
